Handle,Max Rating_x,Result
FastFreeTask,2927.0,Yes
xukai,2821.0,Yes
tokusakurai,2898.0,Yes
YocyCraft,2739.0,Yes
elycx,2880.0,Yes
AmirAli-Asgari,2660.0,Yes
paul2008,2655.0,Yes
StarSilk,2649.0,Yes
do_while_true,2560.0,Yes
dog_of_Nesraychan,2599.0,Yes
yuanhaowei,2551.0,Yes
cqbzdj,2547.0,Yes
riano_,2565.0,Yes
bilibilitdasc,2642.0,Yes
TheLuminousSky,2529.0,Yes
maomao90,2565.0,Yes
CJ-zhuyifan,2554.0,Yes
SegmentMaster,2539.0,Yes
Never_Lose,2500.0,Yes
by_chance,2495.0,Yes
L7-56,2524.0,Yes
windva,2630.0,Yes
vgtcross,2508.0,Yes
no_dream,2481.0,Yes
ExplodingKonjac,2445.0,Yes
WH6BNNS,2572.0,Yes
Daniel777,2420.0,Yes
Flew,2418.0,Yes
Legitimity,2501.0,Yes
Forested,2644.0,Yes
DeMen100ns,2390.0,Yes
wdnmdwrnmmp,2386.0,Yes
MridulAhi,2562.0,Yes
SmolBrain,2389.0,Yes
XZC__Bobby,2366.0,Yes
wangyian2022,2346.0,Yes
Zhouershan,2339.0,Yes
Mapakaka,2319.0,Yes
dimss,2317.0,Yes
slenbol,2391.0,Yes
i8d,2400.0,Yes
Kai-HavertZ,2302.0,Yes
TQX,2385.0,Yes
_saileach_,2285.0,Yes
LMydd0225,2284.0,Yes
tallbee23,2282.0,Yes
Riblji_Keksic,2287.0,Yes
MediocreSouris,2267.0,Yes
Feynn,2260.0,Yes
meOwO,2384.0,Yes
Turkhuuu,2301.0,Yes
pandaforever,2254.0,Yes
fzx,2244.0,Yes
TolyaHo,2277.0,Yes
karinohito,2313.0,Yes
Routec,2239.0,Yes
ttamx,2226.0,Yes
Harry27182,2302.0,Yes
lvkaiyi0811,2224.0,Yes
cpchenpi,2217.0,Yes
ClHg2,2411.0,Yes
h_squared,2222.0,Yes
sakurasonic,2213.0,Yes
chenzhe_,2209.0,Yes
servants,2209.0,Yes
